Product Name,brand,details,Price,Old Price,image URL,is_from_official_store,items_left
Electric Hair Clipper Trimmer Cordless USb Rechargeable,,,KSh 370,KSh 824,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,65 items left
Simple Kind To Skin Moisturising Face Wash,,,KSh 910,"KSh 1,299","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,33 items left
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,,,KSh 399,KSh 754,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,97 items left
Men Unisex Tee T Shirt 3D Printed Summer Men Round Neck Casual Short Sleeve Top,,,KSh 610 - KSh 699,KSh 999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,42 items left
Rechargeable Car Wash Machine +2 Battery,,,"KSh 5,180","KSh 9,800","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,22 items left
Boy Cartoon Spiderman Suit Children Cosplay Suits Halloween,,,KSh 385 - KSh 550,KSh 900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,6 items left
"Sony 55"" 4K ULTRA HD 2022 LATEST Google TV,VOICE REMOTE,PLAYSTORE-55X75K",,,"KSh 78,500","KSh 113,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,66 items left
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",,,"KSh 15,299","KSh 20,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil 1YR WRTY",,,KSh 523,KSh 749,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,96 items left
GUEETON Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,,,KSh 340,KSh 935,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,92 items left
GUEETON Stereo F9 Bluetooth Earphone  Power Headset,,,KSh 360,KSh 700,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
RichRipple M10 LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,,,KSh 450,KSh 861,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,95 items left
Lyons GK-012 Stainless Steel Double Burner Gas Cooker Table Top Gas Stove -Grey (1YR WRTY),,,"KSh 1,499","KSh 2,499","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,5 items left
300Mbps WiFi Repeater WiFi Signal Range Extender WiFi Boost,,,KSh 803,"KSh 2,191","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW BN,,,"KSh 15,099","KSh 30,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
"Vitron Vitron43"" HTC4388FS 43"" Inch TV Frameless, Bluetooth Enabled, Full HD ,Smart Android Television, Inbuilt Decoder For Local Channels,Wi-fi Connectivity, Netflix Youtube App Store (1 YEAR WARRANTY) +FREE TV GUARD+BRACKET+EXTENSION",,,"KSh 20,595","KSh 26,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
Nunix 3 Column Portable Wardrobe - 88130 Red Wine Cover,,,"KSh 1,913","KSh 2,144","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Simple Glow Facial Wash,,,KSh 980,"KSh 1,399","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,16 items left
"VILLAON V101 1.77"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)  (1YR WRTY)",,,KSh 670,KSh 852,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,91 items left
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD PB,,,"KSh 15,099","KSh 30,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,97 items left
ALagzi 2024 Women's New Classic Fashion Sports Casual Shoes - Pink,,,KSh 550 - KSh 590,"KSh 842 - KSh 1,053","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,52 items left
"Mythco 3/4” Wood Gluing Pipe Clamp Set For Woodworking, DIY Projects",,,KSh 799,"KSh 1,763","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,63 items left
Garnier Even & Matte Vitamin C Sunscreen SPF30 50ml,,,KSh 787,"KSh 1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,99 items left
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,,,"KSh 1,033","KSh 1,750","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,99 items left
VIC Mini WIFI Cemera 1080P HD Wireless Security CCTV,,,KSh 770,"KSh 1,826","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,20 items left
"Garnier Skin Active Pure Active Intensive 3 In1 Charcoal Anti-Blackhead Wash For Acne Prone Skin And Blackheads, 150ml",,,KSh 786,"KSh 1,345","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,99 items left
ARHANORY Ladies Long Wallet Coin Purse Women Tri-fold Phone Bag Card Holder - Black,,,KSh 229,KSh 449,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
STY Men Laptop Backpack Business Bag Set Rucksack Travel Bag With USB Jack-Grey,,,KSh 899,"KSh 1,745","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
"Hisense 43"" Inch,A4 Smart TV,FRAMELESS,DOLBY AUDIO,NETFLIX+BRACKET+TV POWER GUARD",,,"KSh 26,990","KSh 60,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
Wireless Invisible Sleep Earbuds Hidden Earpods Small Tiny Mini Earphone,,,"KSh 1,248","KSh 2,466","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,23 items left
"Starlink Mini kit : High-Speed, Low-Latency Internet, Wi-Fi 5",,,"KSh 27,000",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,30 items left
Simple Kind To Skin Soothing Toner 200ml,,,KSh 770,"KSh 1,099","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,34 items left
Home Gym/ Commercial Electric Auto Incline Treadmill Fitness Equipment With Free Dumbbells,,,"KSh 92,999","KSh 180,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
"Infinix Smart 9 HD, 6.7"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Metallic Black (1YR WRTY)",,,"KSh 8,495","KSh 12,446","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,99 items left
Cosrx ACNE PIMPLE MASTER PATCH (2sets),,,"KSh 1,600","KSh 2,400","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,7 items left
Rexona Antiperspirant Deodorant Roll On Quantum - 50ml,,,KSh 311,KSh 395,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,7 items left
