Product Name,brand,details,Price,Old Price,image URL,is_from_official_store,items_left
"Itel S24, 6.6'', 128GB + 4GB (Extended UPTO 8GB) RAM, 5000mAh, Starry Black (1YR WRTY)",,,"KSh 8,799","KSh 14,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Aptamil Aptamil Baby Formula 400gms (No. 2),,,"KSh 1,083","KSh 2,165","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,16 items left
Dove Beauty Bar Fresh Touch 90G,,,KSh 135,KSh 250,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,42 items left
Omo Fast Action Hand Washing Powder 1 Kg,,,KSh 362,KSh 400,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,9 items left
Rashnik Bath Mat Non-slip Quick Dry Polyester Granite Surface Show -dark Grey  53482,,,KSh 518,KSh 564,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,16 items left
Artistic Sense Press On Nails Wearable Fake Nails 24 Sizes In 1 Reusable Pink Fire,,,KSh 245,KSh 684,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,14 items left
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)",,,"KSh 27,528","KSh 33,034","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,9 items left
"Bruhm BGC-5540IF, 50*55cm Cooker (4 Gas Burners) - Silver",,,"KSh 15,995","KSh 26,995","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,95 items left
Rashnik RN-8015 Solar Light 30W 48,,,"KSh 1,725","KSh 2,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,8 items left
St Ives Soothing Chamomile Daily Facial Cleanser 200ml,,,"KSh 1,595",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,12 items left
Vision Plus Hot & Normal Water Dispenser,,,"KSh 7,727","KSh 10,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,25 items left
Inverroche Inverroche Verdant Gin - 750ml,,,"KSh 4,199","KSh 5,484","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,27 items left
Martini Martini Bianco 750ml,,,"KSh 2,220","KSh 2,645","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,32 items left
Bacardi Bacardi Carta blanca 750ml,,,"KSh 2,149","KSh 2,425","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,25 items left
Roch RECK-531SS - 50x55CM 3 Gas Burners + 1 Hotplate Cooker - Silver (1YR WRTY),,,"KSh 25,000","KSh 30,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,37 items left
Premier Commercial Oven one deck two tray,,,"KSh 91,800",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
Dove Roll On  Extra Fresh Men Care 50Ml,,,KSh 475,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,24 items left
"Dettol Antibacterial Soap Cool, 175g",,,KSh 300,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,48 items left
Dove Baby Lotion Fragrance free 200ml,,,KSh 754,KSh 755,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,12 items left
Aberlour Aberlour 12 Year Old Single Malt Scotch Whisky - 700ml,,,"KSh 6,249","KSh 7,205","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,3 items left
Alpaca Alpaca Chardonnay 750ml,,,"KSh 1,345",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,12 items left
Nice & Lovely Glycerine Lotion 100ml,,,KSh 130,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,22 items left
Amara Amara Shower Gel Blk Earth Men - 400ml,,,KSh 390,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,12 items left
"Infinix Hot 50 Pro+, 6.78"", 128GB + 8GB RAM (Dual Sim), 5000mAh, Grey",,,"KSh 22,480","KSh 24,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,19 items left
"Patron Silver Premium Tequila, 40% ABV, 750ml",,,"KSh 7,025","KSh 8,695","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,3 items left
Zandvliet Zandvliet Shiraz 750ml,,,"KSh 2,260",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,12 items left
Bombay Bombay Sapphire Gin (Bramble) - 750ml,,,"KSh 3,799","KSh 4,275","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,35 items left
Phoenix 200L Non-pressurized stainless steel tank solar water heater ,,,"KSh 81,600",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
Kamisafe  KM-7605D Rechargeable LED Emergency Lamp,,,"KSh 1,299","KSh 2,299","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
"Trace Cleaning Wipe, Multi-purpose Cleaning Tool, Green",,,KSh 350,KSh 650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,20 items left
Thermal rolls (5.7*3.3) 1000pc/roll,,,"KSh 15,000",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,18 items left
116Plus Smartwatch For IOS And Android,,,KSh 598,KSh 999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,37 items left
Bluetooth Headsets Wireless Pods Pro Earpods Earphones,,,KSh 349,KSh 599,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,47 items left
Bluetooth Speaker Wireless Portable Speakers LED Light,,,KSh 504,"KSh 1,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,65 items left
Beaded Best Friend Bracelet Personality Simple Couple Bracelet,,,KSh 234,KSh 299,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,19 items left
"Cowboy Baseball Cap, Duck Tongue Cap, Outdoor Travel Sun Hat",,,KSh 400,KSh 699,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,28 items left
